subroot,occ,subid_long,subid_short,subnumber,Male,Age_scan,R1_num_cor,R1_num_sem,R1_num_per,R1_num_dis,R1_num_resp,R1_num_omi,R1_tot_num_q,R1_percent_acc,R1_num_err_incomi,R1_percent_err_incomi,R1_num_err_excomi,R1_percent_err_excomi,R1_percent_err_sem_incomi,R1_percent_err_per_incomi,R1_percent_err_dis_incomi,R1_percent_err_discorr_incomi,R1_percent_err_omi_incomi,R1_percent_err_sem_excomi,R1_percent_err_per_excomi,R1_percent_err_dis_excomi,R1_percent_err_discorr_excomi,R1_percent_resp_cor,R1_percent_resp_sem,R1_percent_resp_per,R1_percent_resp_dis,R1_percent_resp_discorr,R1_meanRT_cor,R1_meanRT_sem,R1_meanRT_per,R1_meanRT_dis,R1_meanRTcorr_cor,R1_meanRTcorr_sem,R1_meanRTcorr_per,R1_meanRTcorr_dis,R2_num_cor,R2_num_sem,R2_num_per,R2_num_dis,R2_num_resp,R2_num_omi,R2_tot_num_q,R2_percent_acc,R2_num_err_incomi,R2_percent_err_incomi,R2_num_err_excomi,R2_percent_err_excomi,R2_percent_err_sem_incomi,R2_percent_err_per_incomi,R2_percent_err_dis_incomi,R2_percent_err_discorr_incomi,R2_percent_err_omi_incomi,R2_percent_err_sem_excomi,R2_percent_err_per_excomi,R2_percent_err_dis_excomi,R2_percent_err_discorr_excomi,R2_percent_resp_cor,R2_percent_resp_sem,R2_percent_resp_per,R2_percent_resp_dis,R2_percent_resp_discorr,R2_meanRT_cor,R2_meanRT_sem,R2_meanRT_per,R2_meanRT_dis,R2_meanRTcorr_cor,R2_meanRTcorr_sem,R2_meanRTcorr_per,R2_meanRTcorr_dis,R2_percent_sem,R2_percent_per,R2_percent_dis,R2_Correct_dividedby_Semantic,R2_Semantic_dividedby_per_dis
n184,1,nora_n184t1,n184_t1,184,0,14.93,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,1.97,,,,1.76,,,,38,1,0,1,40,0,40,95,2,5,2,5,50,0,50,,0,50,0,50,,95,3,0,3,,3.26,4.16,,3.17,2.96,,,,2.5,0,2.5,38,1
n185,1,nora_n185t1,n185_t1,185,1,11.65,37,,2,1,40,0,40,93,3,8,3,8,,67,33,17,0,,67,33,17,93,,5,3,1,3.38,,3.43,3.89,3.18,,3.43,,27,10,2,1,40,0,40,68,13,33,13,33,77,15,8,,0,77,15,8,,68,25,5,3,,4.68,4.79,5.42,3.34,4.65,4.79,5.42,,25,5,2.5,2.7,3.333333333
n187,1,nora_n187t1,n187_t1,187,1,16.54,39,,1,0,40,0,40,98,1,3,1,3,,100,0,0,0,,100,0,0,98,,3,0,0,3.19,,7.82,,3.03,,,,38,2,0,0,40,0,40,95,2,5,2,5,100,0,0,,0,100,0,0,,95,5,0,0,,4.16,5.97,,,4,5.97,,,5,0,0,19,2
n188,1,nora_n188t1,n188_t1,188,1,10.36,38,,0,1,39,1,40,95,2,5,1,3,,0,50,25,50,,0,100,50,97,,0,3,1,3.67,,,2.32,3.45,,,,34,3,2,0,39,1,40,85,6,15,5,13,50,33,0,,17,60,40,0,,87,8,5,0,,4.59,4.62,6.42,,4.5,4.62,6.42,,7.5,5,0,11.33333333,3
n191,1,nora_n191t1,n191_t1,191,0,10.42,35,,3,2,40,0,40,88,5,13,5,13,,60,40,20,0,,60,40,20,88,,8,5,3,3.36,,4.56,5.92,3.36,,4.56,5.92,33,3,1,3,40,0,40,83,7,18,7,18,43,14,43,,0,43,14,43,,83,8,3,8,,4.84,7.01,6.56,6.8,4.84,7.01,,6.8,7.5,2.5,7.5,11,0.75
n192,1,nora_n192t1,n192_t1,192,0,13.05,39,,0,1,40,0,40,98,1,3,1,3,,0,100,50,0,,0,100,50,98,,0,3,1,2.69,,,3.25,2.5,,,,39,1,0,0,40,0,40,98,1,3,1,3,100,0,0,,0,100,0,0,,98,3,0,0,,3.98,3.99,,,3.66,,,,2.5,0,0,39,1
n193,1,nora_n193t1,n193_t1,193,1,9.57,35,,1,1,37,3,40,88,5,13,2,5,,20,20,10,60,,50,50,25,95,,3,3,1,4.16,,3.89,3.83,3.71,,,,36,1,2,0,39,1,40,90,4,10,3,8,25,50,0,,25,33,67,0,,92,3,5,0,,5.18,7.59,3.78,,5.05,,3.78,,2.5,5,0,36,1
n194,1,nora_n194t1,n194_t1,194,1,9.04,32,,4,2,38,2,40,80,8,20,6,16,,50,25,13,25,,67,33,17,84,,11,5,3,4.21,,5.72,5.73,4.09,,5.72,5.73,23,11,3,0,37,3,40,58,17,43,14,38,65,18,0,,18,79,21,0,,62,30,8,0,,5.37,5.17,7.41,,5.37,5.17,7.41,,27.5,7.5,0,2.090909091,11
n195,1,nora_n195t1,n195_t1,195,0,10.66,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,3.75,,,,3.58,,,,33,2,1,2,38,2,40,83,7,18,5,13,29,14,29,,29,40,20,40,,87,5,3,5,,5.06,5.21,7.75,5.09,4.92,5.21,,5.09,5,2.5,5,16.5,0.666666667
n196,1,nora_n196t1,n196_t1,196,1,6.61,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,3.9,,,,3.77,,,,24,12,3,1,40,0,40,60,16,40,16,40,75,19,6,,0,75,19,6,,60,30,8,3,,4.85,5.27,7.16,6.11,4.85,5.27,7.16,,30,7.5,2.5,2,3
